Number,Title,Author,Gender,State,Created,Closed,Number of Comments,Sentiment,Sadness,Joy,Fear,Disgust,Anger
86417,Roll Plugins from fbb4b3a85e3a to cf80430e72e1 (1 revision),engine-flutter-autoroll,none,CLOSED,2021-07-14 09:27:17,2021-07-16 01:16:12,37,-0.9519,0.3466,0.1815,0.1232,0.0128,0.0607
75472,Support Scribble Handwriting,Jami,female,MERGED,2021-02-05 02:46:57,2022-01-11 19:00:13,36,0.2994,0.2946,0.309,0.0991,0.0275,0.0793
51656,Set AA flag for painting images,Yuqian,female,MERGED,2020-02-28 19:35:08,2020-04-09 02:02:05,37,-0.2766,0.3114,0.2718,0.1043,0.0358,0.0711
113637,Speed up first asset load by encoding asset manifest in binary rather than JSON,Andrew,male,MERGED,2022-10-18 19:48:33,2022-12-05 18:39:10,35,-0.4776,0.3294,0.2756,0.1094,0.0337,0.0677
43760,Fix the issue of Android add2app build fails on Android when assets are read-only,shihchanghsiungsonos,none,CLOSED,2019-10-29 22:17:19,2020-02-03 22:52:30,35,0.3627,0.352,0.3095,0.0813,0.0207,0.059
114997,Roll Flutter Engine from e7d7edab98ad to 1a8888b5170b (33 revisions),engine-flutter-autoroll,none,CLOSED,2022-11-09 16:19:16,2022-11-09 17:10:07,34,-0.5203,0.3026,0.2912,0.1057,0.0306,0.0475
91802,"Add a ""flutter debug_adapter"" command that runs a DAP server",Danny,male,MERGED,2021-10-14 09:25:05,2021-10-27 13:48:06,35,-0.2588,0.2799,0.306,0.0939,0.0294,0.0622
68523,Fix the OutlineInputBorder padding (#67707),Michel,male,CLOSED,2020-10-19 21:09:55,2021-03-29 19:38:34,33,-0.372,0.3357,0.2786,0.0966,0.0269,0.0963
65501,Update the cupertino picker visuals,YeungKC,none,MERGED,2020-09-09 20:06:54,2020-10-07 20:12:13,35,-0.5108,0.3421,0.2377,0.114,0.0346,0.064
44018,Fix the issue of TextSelection could misbehave inside a Nested Overlay,shihchanghsiungsonos,none,CLOSED,2019-11-01 22:15:03,2020-01-21 22:29:03,35,0.4582,0.2462,0.3256,0.1347,0.0367,0.0811
22956,[FR] BottomNavigationBar fixed with no titles.,Hyo,female,CLOSED,2018-10-11 14:01:43,2019-02-19 20:19:39,35,-0.4645,0.3264,0.2955,0.0729,0.027,0.0674
14298,[fuchsia_remote_debug_protocol] Adds the fuchsia remote debug protocol library.,Andrew,male,MERGED,2018-01-26 20:59:02,2018-03-23 00:19:03,35,-0.3288,0.301,0.298,0.1002,0.0305,0.0642
103833,Add OvalBorder and BoxShape.oval ,Bernardo,male,MERGED,2022-05-14 22:49:21,2022-07-20 21:29:05,32,-0.2949,0.2474,0.3196,0.1151,0.0381,0.1032
87203,Add image keyboard support on Android,Tanay,male,CLOSED,2021-07-28 15:44:45,2022-08-25 21:43:13,31,0.2982,0.3172,0.3201,0.0848,0.0321,0.0765
51126,[flutter_tools] fix build for projects with watchOS companion app,tauu,male,MERGED,2020-02-20 15:55:42,2020-04-15 19:13:07,33,-0.27,0.3049,0.3078,0.0882,0.0281,0.0639
49527,Avoid calling didChangeDependences on a State that has dropped out of the tree,Dan,male,MERGED,2020-01-27 07:08:53,2020-01-29 22:33:02,34,0.2762,0.3067,0.279,0.1446,0.0336,0.0604
67515,Implement Cupertino Sheet,Jaime,male,CLOSED,2020-10-07 10:32:12,2021-12-09 21:50:42,31,0.4512,0.2319,0.3802,0.098,0.0345,0.0837
56365,FormField should autovalidate only if its content was changed,Pedro,male,CLOSED,2020-05-05 13:58:26,2020-06-18 15:35:32,32,0.3634,0.2523,0.2907,0.0895,0.0307,0.1209
39856,Change isFlaky to isNew,Yuqian,female,CLOSED,2019-09-04 23:53:17,2019-10-02 22:47:56,33,-0.6265,0.3224,0.1958,0.1084,0.0438,0.0922
31028,Adds support for generating projects that use AndroidX support libraries,Josh,male,MERGED,2019-04-14 05:01:19,2019-06-01 01:33:03,33,0.3578,0.2864,0.3396,0.0879,0.0299,0.0625
